side.effect	targets	n.target	k.target.med	k.target.mean	n.drug
Diabetes mellitus	1814|1815|152|1557|1559|5243|1565|9429|1551|1576	10	7.000000	10.200000	127
Depressive symptom	1544|1558|1565|3363|3356|6532|6530|6531|1576	9	7.000000	9.777778	17
Bladder pain	1557|1559|1558|7364|1565|5743|1576	7	12.000000	14.714286	126
Pallor	151|1815|152|3614|1812|150|148|147|3352	9	9.000000	8.777778	86
Syncope	151|152|54600|6532|1814|1815|1544|1812|1813|2561|2560|7364|3362|3363|4986|1565|146|147|5004|1816|148|54658|3356|3351|3350|3352|3359|3358|1551|1636|1557|1559|5243|6331|1576	35	7.000000	10.171429	338
Migraine	1551|1559|5241|5243|1565|9429|2099|1576	8	9.500000	49.500000	155
Pelvic pain	1551|1557|1559|5243|9429|6532|2099|1576	8	9.500000	47.250000	58
Mucosal inflammation	5159|2322|2321|1545|5422|81027|2324|7153|3815|3791|5243|5156|9429|1633|1244|6240|7150|2950|1436|471	20	25.000000	46.750000	52
Hypersensitivity	1551|1559|9429|1244|1576	5	6.000000	6.800000	547
Hirsutism	1588|6462|2908|5241|5243|367|2099|1576	8	52.000000	107.875000	58
Myoclonus	1128|1129|152|150|6532|6530|6531|1814|1815|1816|1812|1813|3362|3363|4986|4988|1565|147|151|5004|1133|1132|1131|148|3354|3356|3350|3352|3269|3359|3358|1551|6331|1576	34	7.000000	8.323529	62
Ovarian cyst	2475|5241|1565|6530|2099|1576	6	31.500000	71.166667	18
Drug withdrawal syndrome	1128|1129|152|155|150|3751|3752|6532|2567|6530|6531|3363|2569|1816|1813|2561|2560|2563|2562|2565|3362|2566|6326|4985|4986|4988|1562|1565|146|147|151|5004|1133|301|1131|148|5243|3356|3350|3352|3269|3358|1551|2554|2555|2556|1132|2570|1814|1571|1576	51	8.000000	11.156863	45
Pollakiuria	1128|150|152|6532|6530|1814|1815|1544|1813|7364|3362|3363|1565|775|147|776|5004|1133|1131|779|148|3356|146|3350|3352|3269|3358|1551|1557|783|1559|1558|5243|3351|1576	35	7.000000	9.828571	207
Musculoskeletal discomfort	1551|7498|1545|1636|1557|1559|1558|1544|5243|316|9429|1633|1244|2030|10599|1576|1565	17	7.000000	11.411765	427
Osteoarthritis	1551|1544|1557|1559|1558|706|3358|1565|1548|3363|9429|3354|3351|5243|3352|1562|1576	17	6.000000	8.529412	160
Blunted affect	1128|1814|151|152|1812|1815|150|1813|148|1565|147|3356|3350|3352|3269|3358	16	8.500000	9.625000	5
Respiratory acidosis	3614|3615|54600|54658|54576|54577	6	6.000000	11.166667	6
Trismus	1128|1814|1812|1813|148|3356|6532|3269|1565	9	9.000000	10.333333	27
Eye haemorrhage	1128|5148|5149|1559|1576|3354|54577|3351|3352|2159|1565	11	7.000000	10.363636	43
Tongue paralysis	1814|1815|151|152|1812|1813|150|148|147|3356|3350|3352|3269|3358	14	9.500000	10.642857	5
Blood uric acid increased	25|7498|6557|3614|3615|3815|2030|7153|6559|5243|5422|9429|1633|185|6240|2950	16	17.500000	42.187500	109
Necrosis	1545|1728|7155|7153|5243|9429|1579|8714|1244|2944|2950	11	9.000000	23.363636	69
Opisthotonus	1814|1815|1544|152|1812|1813|150|3360|147|148|1565|54576|151|3350|3352|3269|801|3359|3358|3356	20	10.500000	20.650000	18
Parkinsonism	1128|151|152|150|6532|1814|1815|1544|1812|1813|3362|3363|1565|147|1133|1132|1131|1816|148|3354|3356|3351|3350|3352|3269|3359|3358|5243|801	29	7.000000	14.965517	44
Cyst	28234|25|1545|1583|5422|9429|2099|1576	8	21.000000	87.375000	56
Pancreatitis	5159|6579|213|54600|5742|5743|1544|6557|1636|2328|7364|6559|9429|760|9356|3815|54658|55867|1551|1803|1557|1559|1558|5243|1244|10599|1576	27	7.000000	20.629630	208
Water intoxication	1814|1815|151|152|1812|1813|150|148|3354|147|3356|3350|3352|3269|3358	15	9.000000	10.133333	9
Bone pain	1551|1633|2224|5243|978|9429|8647|8856|1576	9	12.000000	11.666667	101
Anterograde amnesia	2569|1551|2554|2555|2556|2557|2561|2560|706|2562|2565|2567|2566|2570|2559|1571|1576|2563	18	8.000000	9.444444	10
Rhabdomyolysis	5159|1815|1544|1557|3815|1559|1558|54658|5243|1565|9429|3354|6326|1244|185|10599|1576|3156	18	7.000000	17.833333	95
Libido increased	1814|1815|1816|152|1812|1813|150|151|1565|148|1576|3357|3356|3351|3350|3352|6532|3363|3358	19	7.000000	8.789474	56
Disinhibition	2554|2555|2556|2561|706|2562	6	11.000000	11.333333	10
Acute leukaemia	7498|1728|2938|7150|9429|1244|2944|2950	8	5.000000	30.625000	22
Aggression	151|150|152|706|6532|6530|6531|3363|2569|1815|1544|1812|1813|2561|2560|2563|2562|2565|1557|2567|2566|1565|147|1816|148|3356|3351|3350|3352|3358|2554|2555|2556|2557|2559|2570|1814|1576	38	8.000000	10.421053	96
Electrocardiogram T wave inversion	151|150|152|1812|1815|4535|1131|27032|2890|148|3358|147|1814|3350|3352|3736|513|3359|1565|3356	20	10.000000	13.250000	15
Electrocardiogram QT prolonged	1128|1129|152|150|6532|1814|1815|1544|1812|1813|3362|3363|1565|147|151|3815|1133|1132|1131|1816|148|3354|3356|3351|3350|3352|3269|3359|3358|1551|1557|5243|1576	33	8.000000	11.272727	55
Atrioventricular block	1128|1129|153|152|155|154|150|3751|3752|3757|3274|6532|6583|1814|1815|1544|1812|1813|3362|3363|1565|146|147|151|5004|1133|1132|1131|148|3354|3356|3351|3350|3352|3269|3359|3358|1557|5243|6336|6331	41	7.000000	10.146341	103
Renal failure acute	28234|1636|7153|5243|9429|1244|10599	7	5.000000	19.285714	137
Orgasm abnormal	6532|6530|6531|6716|6715|1565	6	7.000000	10.500000	11
Pruritus	6565|1559|213|5243|1576	5	12.000000	40.800000	583
Stupor	1551|706|2554|1576|3352	5	6.000000	8.200000	72
Adenocarcinoma	1814|1815|151|152|1812|1565|3356|3350|3352|3358	10	7.000000	8.200000	6
Neoplasm malignant	1551|5159|1545|3815|2280|9429|1576	7	23.000000	32.571429	81
Dysphemia	1128|1129|152|150|59340|1814|1815|1816|1812|1813|2328|3362|3363|6323|147|151|1133|1132|1131|148|3354|3356|3351|3350|3352|3269|3359|3358|1557	29	7.000000	10.620690	6
Grand mal convulsion	1814|1815|1812|1813|148|1565|3356|6532|3350|1551|100|3359|3358	13	9.000000	10.153846	44
Intestinal ulcer	3615|54600|7364|1066|54575|5742|5743|5320|9356	9	18.000000	15.111111	12
Erythema nodosum	1545|1559|7153|5241|5243|240|2100|2099	8	40.500000	75.500000	35
Salivary hypersecretion	1128|1129|152|150|706|3363|1814|1815|1544|1812|1813|2561|4535|43|3362|2566|1565|1133|1132|1131|1816|3354|3356|3351|3350|3352|3269|3359|3358|1551|1571|2554|1557|27032|2890|5243|513|1576	38	9.000000	12.447368	108
Cystitis	1557|1559|1558|1565|5743|1576	6	9.500000	13.166667	115
Carbon dioxide increased	4535|2890|5731|27032|3736|513	6	15.000000	22.833333	9
Hypokinesia	151|150|152|706|1548|1814|1815|1816|1812|1813|3362|3363|54600|147|148|3354|3357|3356|3351|3350|3352|3269|3359|3358|1551|2554|1557|1559|5243|1565|6330|6331|1576	33	7.000000	8.636364	69
Oliguria	213|54600|7364|54658|5742|5743	6	20.000000	39.166667	82
Mental disability	2570|3614|706|6532|2567|2569|2561|2560|2563|2562|2565|1557|1548|2566|4986|1565|3357|3351|3352|3358|1551|2554|2555|2556|1559|5243|54576|1571|1576	29	8.000000	9.689655	128
Apathy	3614|1557|3352|1565|3354|6532|6531|1576	8	7.000000	9.375000	64
Eructation	1551|1544|1557|1559|1558|54600|7364|5243|1565|54575|5742|5743|3352|1576	14	14.500000	14.571429	106
Pulmonary haemorrhage	1436|1551|1557|5148|5149|5243|5156	7	21.000000	22.714286	19
Diplopia	2562|2565|706|6532|5243|7153|2569|1544|2561|2560|2563|7363|7364|1557|2567|2566|6326|1562|54600|6329|774|1551|2554|2555|2556|2557|1559|1558|2570|1565|54576|6331|2559|1576	34	8.500000	14.117647	163
Muscle rigidity	1128|1129|152|150|59340|801|3736|1814|1815|1816|1812|1813|4535|3362|3363|4985|4986|4988|1565|147|151|1133|1132|1131|148|3354|3356|3351|3350|3352|3269|3359|3358|1551|27032|2890|513	37	8.000000	16.027027	51
Major depression	3356|6532|1565|6530|6531	5	6.000000	7.800000	22
Breast pain	1814|1565|5241|5243|3363|2099|1576	7	14.000000	56.285714	93
Tenderness	1551|1544|1545|1543|2100|1558|1548|1956|5243|6715|2099|213	12	29.500000	88.750000	70
Menstrual disorder	1814|1557|5243|1565|6532|3352|1576	7	12.000000	12.285714	66
Glycosuria	1814|1815|1544|6557|9356|1812|1813|762|760|2908|6559|3356|3352|152|759	15	7.000000	21.733333	88
Mood swings	1551|1545|1557|1559|1558|7363|5241|5243|1565|9429|2099|1576	12	14.500000	40.250000	171
Dysphagia	1128|5159|1544|1545|1557|1812|1815|1131|1813|7153|5243|1576|9429|3354|1814|3351|6331|3352|1551|1565|3356	21	12.000000	20.666667	187
Lethargy	151|2569|152|2570|1812|1813|2563|2565|5243|3358|1815|1814|6532|2567|1551|1576|1565|3356|3350	19	7.000000	8.947368	158
Oedema peripheral	1551|1559|1576|1812|1565	5	7.000000	7.600000	247
Muscular weakness	1551|1544|1557|1559|1558|706|2328|7364|54658|5243|1565|9429|5465|1244|3352|10599|1576|6331	18	6.500000	12.388889	193
Ulcer	213|1559|7155|7153|5243|9429|5743|2030	8	19.500000	47.500000	94
Haematuria	9356|1557|1559|64805|7153|5742|5743	7	18.000000	25.714286	228
Dementia	1814|1815|1544|2328|150|1559|1565|6579|151|1579|1576|9429|3354|3357|152|3352|2100|2099|3358|3356	20	6.500000	26.000000	38
Renal tubular necrosis	2475|3614|3615|2280|54600|54658|54577	7	9.000000	18.000000	20
Somnambulism	1814|1815|1816|152|2554|1812|2556|150|706|151|3362|3363|3354|3356|3351|3350|3352|1551|3359|3358|2555	21	7.000000	7.571429	13
Yawning	4986|3357|4985|6530|3352|4988|3351|1565|6532	9	6.000000	9.555556	35
Hypertriglyceridaemia	1551|1559|5243|1565|6257|1576	6	9.500000	18.000000	55
Haemorrhage	1551|213|1559|54600|9429|5743	6	6.500000	34.500000	244
Conjunctivitis	1551|1559|9429|1576|1558	5	7.000000	7.200000	232
Myopathy	1551|1244|1557|4831|4830|6579|5243|1565|9429|3354|3156|1558|10599|1576|1559	15	7.000000	15.933333	72
Tachycardia	1128|1129|152|135|150|134|59340|6532|6530|6531|1814|1815|1544|1812|1813|3362|3363|4986|4988|1565|775|147|151|6580|1133|1132|1131|1816|148|3354|3357|3356|146|3350|3352|3269|3359|3358|1551|1557|1559|5243|3351|1571|1576	45	7.000000	9.133333	408
Priapism	1128|1129|152|150|3757|6532|1814|1815|1544|1543|1812|1813|2328|3362|3363|1133|367|8654|146|147|151|5148|5149|90134|1132|1131|1816|148|3354|3356|3351|3350|3352|3269|3359|3358|5004|1557|1565|50632	40	7.500000	15.375000	49
Miosis	146|147|3757|4985|148|4986|4988|1565	8	10.500000	12.125000	44
Hostility	706|3269|6532|2567|6530|6531|5243|116444|3363|2569|1815|1816|2561|2560|2563|2562|2565|1557|3362|2566|1562|1814|3354|3356|3350|3352|6529|3359|3358|1551|2554|2555|2556|1559|1558|2570|1576	37	7.000000	8.675676	50
Breast tenderness	1588|1545|6462|5241|367|6715|2099|1576	8	40.500000	88.250000	26
Blindness cortical	7498|1728|6647|5243|1318|9429|538|540|8714|1244|4502|2944|2950|4489|4353	15	5.000000	11.266667	6
Abnormal dreams	1551|1544|1557|1559|5243|1565|6532|1576	8	9.500000	13.500000	109
Tremor	1128|152|706|59340|6532|6530|6531|1814|1815|1544|4128|1813|7364|3362|3363|4986|4988|1562|54600|147|1133|1132|4129|148|3354|3356|3351|3350|3352|3269|3359|3358|1551|1557|1559|1558|5243|1565|54575|6331|1576	41	7.000000	11.365854	324
Renal failure	5159|213|54600|1786|5742|5743|1545|1636|7153|9429|185|9356|3815|54658|1633|55867|1551|6565|1558|5243|1559|1579|1244	23	7.000000	27.956522	219
Loss of consciousness	152|54600|6532|1814|1815|1544|1636|7364|3362|3363|4986|4988|1565|146|147|5004|1816|54658|3356|3351|3350|3352|3359|3358|1551|1557|1559|1558|5243|6331|1576	31	7.000000	9.645161	347
Hyperkinesia	1128|1129|152|6532|6530|1814|1815|1544|1812|1813|1548|3363|4986|1562|1565|1133|1132|1131|3354|3356|3351|3350|3352|3269|3358|1551|2554|2898|1557|1558|2891|5243|1576	33	7.000000	9.939394	127
Anxiety	1551|1544|1545|1557|1559|1558|3352|54658|1548|3358|3356|6532|5243|6530|6531|3351|3350|3359|1576|1565	20	7.000000	10.650000	366
Anaphylactic shock	1544|213|6565|1558|7153|54658|5243|9429|1559|5742|5743|8714|1244|10599|55867|9356	16	6.000000	24.312500	377
Dysphoria	6530|4986|4985|6532|6531|4988|1565	7	7.000000	10.857143	35
Carbohydrate tolerance decreased	301|6462|6579|2908|5243	5	53.000000	76.000000	10
Nocturia	1551|776|1557|783|1559|5243|1565|6532|1576	9	6.000000	9.555556	98
Medication overuse headache	3355|4128|3351|3350|3352	5	8.000000	14.000000	5
Mental disorder	1814|1551|1576|5243|1565	5	12.000000	10.200000	289
Optic neuritis	25|7498|1545|6462|2908|5243|9429|1579|2099	9	30.000000	99.888889	56
Sepsis	25|1545|3614|3615|3815|7298|7153|54658|5243|978|9429|1633|2030	13	21.000000	49.076923	115
Respiratory depression	1571|2562|4988|213|2561|2560|54600|7363|7364|2890|27032|2554|5742|4985|4986|513|3736|1562|4535|116443	20	17.500000	24.800000	75
Uterine leiomyoma	1544|1545|5241|6532|2100|2099	6	40.500000	82.166667	18
Neurological symptom	1728|6647|6336|1318|540|4502|2944|2950|4489|538	10	7.000000	13.300000	25
Muscle relaxant therapy	1814|1815|1816|152|1812|1813|150|706|3352|151|316|1576|6326|3356|6331|4986|1551|2550|3358|1565	20	7.000000	10.300000	46
Anger	706|6532|6530|6531|2569|2561|2560|2563|2562|2565|2567|2566|6323|1551|2554|2555|2556|2557|2559|2570|1571|1576	22	8.000000	11.909091	27
Akinesia	1128|1129|152|150|59340|1814|1815|1544|1812|1813|3362|3363|1565|147|151|1133|1132|1131|1816|148|3354|3356|3351|3350|3352|3269|3359|3358|1551|1557|5243	31	7.000000	9.322581	24
Amnesia	2569|1551|2555|1557|1559|2560|706|2565|2556|2567|1565|3354|7364|2570|1558|5243|1576|2563|6331	19	8.000000	10.105263	155
Sexual dysfunction	1551|5243|1565|6532|6530|1576	6	6.000000	8.166667	52
Dry mouth	1128|1129|152|150|706|59340|6532|6530|6531|1814|1815|1544|1812|1813|7364|3362|3363|4986|4988|54600|146|147|151|5004|1133|1132|1131|1816|148|54658|3357|3356|3351|3350|3352|3269|3359|3358|1551|1557|1559|5243|1565|801|1576	45	7.000000	13.133333	373
Epistaxis	1551|213|1557|3815|1559|1558|64805|5243|1565|9429|3352|1576	12	7.000000	27.250000	229
Faecalith	1128|1129|152|150|1814|1815|1812|1813|3362|3363|4985|4986|4988|1565|151|1133|1132|1131|3354|3356|3351|3352|3359|3358|54576	25	7.000000	9.480000	18
Neoplasm	5159|3815|9429|367|2099|1576	6	76.500000	113.000000	123
Conduction disorder	146|1129|3752|152|5004|1133|1132|1131|1813|148|1565|3751|147|3362|10280|6530|3269|5243|3358|3356|3350	21	7.000000	8.333333	15
Opportunistic infection	1633|6579|5422|9429|1244|1576	6	8.500000	14.333333	37
Tension	1128|706|5742|6532|5243|6530|6531|116444|2569|1544|1636|2560|2563|2565|1557|2567|2566|1565|148|3269|2554|2555|2556|1559|1558|2570|54575|1576	28	8.000000	10.464286	309
Tinnitus	152|5742|5743|6532|1544|3362|1562|1565|5004|3356|3351|3350|3352|3269|3358|1551|1557|1559|1558|5243|6331|1576	22	7.500000	10.954545	275
Electrocardiogram change	1814|1815|151|152|1813|3362|59340|3354|3350|3352|5243|3359|3358	13	6.000000	8.000000	25
Insomnia	1814|1551|1544|154|1557|1813|1559|1558|3352|1565|5243|1576|147|3356|6532|6530|6531|3351|3358	19	8.000000	13.894737	446
Anorgasmia	1814|1815|152|1812|148|1565|3356|6532|3350|6530|3352|3269|1551|1576	14	7.500000	8.428571	23
Urinary retention	1128|1129|152|2904|3751|3752|59340|6532|6530|6531|1814|1815|1544|1812|1813|3362|3363|6326|4985|4986|4988|1562|1565|146|147|151|5004|1133|1132|1131|1816|148|3354|3356|3350|3352|3269|2903|3359|3358|150|1557|5243|6331|1551|1576	46	7.000000	10.913043	180
Endometrial cancer	1588|1545|5241|2100|2099|1576	6	40.500000	83.333333	16
Cough	1551|1633|1636|1559|1558|54658|5243|1565|9429|1576	10	6.500000	7.900000	338
Respiratory arrest	4988|6336|3359|4985|4986	5	7.000000	11.600000	36
Paraesthesia	1551|1636|1559|1558|1565|5243|1576|9429|3362|6532|1244|3352|3351|3358|3350	15	6.000000	7.000000	434
Blood thyroid stimulating hormone increased	1551|2322|2321|2324|3815|3791|9429|1244|5159|10928	10	20.500000	31.600000	9
X-linked lymphoproliferative syndrome	2280|2475|54577|3614|3615	5	23.000000	24.400000	9
Nasal congestion	1128|151|152|150|59340|1814|1815|1816|1812|1813|3362|3363|146|147|1131|148|3356|3350|3352|3269|3358|801	22	7.500000	16.954545	144
Gastritis	1551|1557|1559|1558|2224|54658|1565|9429|5742|5743|3352|1576	12	7.000000	10.500000	185
Rhinitis	1636|1559|1558|5243|9429|185|1576	7	7.000000	11.000000	252
Mydriasis	1128|1129|155|3751|3752|59340|6532|6530|6531|1813|7363|3362|3363|4988|1565|5004|1133|1132|1131|148|3356|3350|3269|3358|1557|1576	26	7.500000	9.384615	86
Hypertension	151|150|152|54600|59340|6532|6530|6531|1814|1815|4129|1545|1812|1813|3362|3363|9429|1816|1565|146|147|5004|1133|1544|148|3356|3350|3352|3359|3358|1551|1557|1559|1558|5243|1576	36	7.000000	10.500000	359
Tongue discolouration	1128|1129|152|155|6532|6530|6531|1816|1813|3362|3363|1565|146|147|5004|1133|1132|1131|148|3356|3350|3269|3359|3358	24	6.000000	7.083333	46
Diabetic hyperglycaemic coma	1128|1129|152|150|1814|1815|1816|1812|1813|3362|3363|1565|147|151|1133|1132|1131|148|3354|3356|3351|3350|3352|3269|3359|3358	26	7.000000	7.846154	5
Pericardial effusion	1436|25|3614|3815|5156|9429|54577|5159	8	28.000000	66.000000	36
Incontinence	2569|2561|2560|2563|2562|2565|2570|2566|2567	9	12.000000	11.111111	35
Asthenia	1551|1557|5004|1559|1558|3352|54658|5243|1565|9429|3351|3350|1132|1576	14	6.500000	8.428571	578
Jaundice cholestatic	6833|768|771|213|1636|1559|760|6559|6462|3156|367|2099|759|9356	14	9.500000	56.571429	93
Hepatic failure	1551|1576|9356|1557|1559|7364|7153|54658|5243|2890|9429|54575|5742|5743|1244|27032|6240|3736|513|10928|1565	21	17.000000	19.428571	152
Hangover	2569|2554|2555|2556|2557|2561|2559|706|2562|2565|2567|2566|2570|2560|2563	15	8.000000	9.933333	19
Sleep disorder	154|706|6532|2570|2569|1544|4128|2561|2560|2563|2565|2567|2566|1565|3351|3350|3352|1551|2555|1557|1559|2556|5243|1576	24	8.500000	13.875000	138
Tenosynovitis	1128|1557|1559|1131|1565|3354|6532|1576	8	6.500000	9.000000	28
Rectal haemorrhage	1557|1559|1558|7364|5243|9429|3354|5742|5743|1576	10	14.500000	14.300000	97
Blood creatine phosphokinase increased	25|1557|1559|1565|9429|3354|5465|3156|185|10599|1576	11	12.000000	40.818182	67
Withdrawal bleed	5241|6462|6580|2099|2100	5	53.000000	96.600000	4
Ejaculation disorder	1128|1129|152|150|3269|6532|6530|6531|116444|1814|1815|1816|1812|1813|3362|3363|1565|147|151|5148|5149|1133|1132|1131|148|3354|3356|3351|3350|3352|6716|6715|3359|3358|1557|1576	36	8.000000	10.000000	40
Hyperglycaemia	1551|1544|6557|1557|1559|1558|54658|1565|1633|1576	10	7.000000	11.400000	225
Dysmenorrhoea	1814|1815|1544|1812|3352|3358|3354|3351|6531|6532|2099|1576	12	8.000000	34.000000	93
Erythema multiforme	1551|1544|1244|213|1557|3815|6565|1558|6579|54658|5243|9429|1559|5742|5743|8714|8913|9356|1576|55867|1543	21	7.000000	20.904762	268
Pain	1551|1633|1559|54658|5243|9429|1244|1576	8	6.500000	8.750000	455
Peliosis hepatis	3251|1588|2099|6462|367	5	53.000000	123.600000	9
Transient ischaemic attack	5159|2322|2321|1636|5148|2324|5149|3791|3815|3352|8654	11	26.000000	31.363636	42
Infection	1545|1559|1558|2908|54658|9429|1633|1576	8	9.500000	33.750000	359
Cyanosis	1551|1815|3354|3351|3350|3352|6331	7	7.000000	8.142857	61
Bleeding time prolonged	9356|1559|54600|7364|5742|5743	6	12.500000	12.166667	22
Polydipsia	151|1129|152|150|1814|1815|1816|1812|1813|3362|3363|147|1133|1132|1131|148|3354|3356|3351|3350|3352|3269|3359|3358	24	7.500000	8.291667	23
Vision blurred	1128|1129|1544|1813|1133|1132|1131|147|3362|1565|3269|5742|3356|6532|5243|6530|148|1551|1562|3358	20	7.500000	9.800000	325
Hyperkalaemia	213|1636|27032|2890|185|513	6	22.500000	42.833333	99
Glaucoma	1128|150|1816|152|1557|1812|1813|2908|1565|3356|6532|6530|6531|1576	14	9.500000	23.857143	77
Purpura	1544|213|1557|1559|760|6559|5243|5742|5743|6532	10	17.500000	31.100000	160
Delirium	1128|1129|152|6532|6530|6531|1814|1815|1816|1812|1813|3362|3363|4986|1565|147|151|5004|1133|1132|1131|148|3354|3356|3350|3352|3269|3359|3358|1551|1557|5243|1576	33	7.000000	8.303030	88
Visual impairment	1551|1544|1543|1557|1559|1558|54600|1548|1565|54576|3351|5243|1576	13	8.000000	13.307692	265
Urinary incontinence	1814|1815|151|152|3614|1551|1812|150|1565|706|148|3358|3354|3356|3350|3352|5243|3359|1576	19	7.000000	8.473684	121
Amblyopia	1557|1558|7364|54658|5243|6326|54576|1576|6329	9	12.000000	14.222222	84
Hepatotoxicity	7498|1544|316|9429|1244|2950	6	12.500000	13.833333	83
Agitation	1128|1129|152|6530|150|1814|706|6531|6532|1548|135|134|5243|116444|3363|116443|2569|1815|1544|4128|1812|1813|2561|2560|2563|2562|2565|1557|2567|2566|4985|4986|4988|1562|1565|147|6584|1133|1132|1131|4129|148|3354|3362|3351|3350|3352|3269|3359|3358|1551|2554|2555|2556|2557|1559|2559|2570|3356|1571|1576	61	8.000000	10.721311	339
Ataxia	1128|152|7153|706|1548|6532|2567|6530|5243|3363|2569|1815|1544|1813|2561|2560|2563|2562|2565|1557|3362|2566|1565|1139|5004|1133|1132|1137|1816|3354|3357|3356|3351|3350|3352|3269|3359|3358|2555|1551|2554|2898|2556|2557|1559|18|2891|2570|6331|2559|1571|1576	52	7.000000	11.076923	183
Hypercapnia	4535|2890|5731|27032|3736|513	6	15.000000	22.833333	9
Ventricular tachycardia	1128|1129|152|150|3751|3752|3757|6532|5139|1814|1815|1544|1812|1813|2328|3362|3363|1565|147|5004|1133|1132|1131|148|3356|3351|3350|3352|3269|3358|1551|1557|5243|1576	34	8.500000	10.264706	109
Progressive multifocal leukoencephalopathy	2280|54577|3614|3615|5422	5	23.000000	21.600000	10
Sinusitis	1551|1557|1559|1558|7364|5243|1565|9429|10599|1576	10	7.000000	10.900000	241
Binge eating	1814|1815|1816|151|1812	5	7.000000	8.200000	6
Hot flush	1551|1545|1557|7153|5243|1565|2099|1576	8	23.000000	61.875000	140
Intestinal obstruction	151|150|152|1814|1815|1812|7150|9429|81027|1565|1132|1131|3354|3356|3351|3350|3352|3359|3358|1551|7277|5243|1576	23	8.000000	26.956522	54
Blood potassium decreased	2322|2321|2324|3791|3815|7153	6	37.000000	45.833333	23
Hyperaesthesia	1551|9429|1559|7153|5243|3355|3351|1576	8	7.500000	19.625000	77
Cardiotoxicity	7498|1545|7153|7155|5447|5243|978|9429|2030	9	17.000000	27.333333	17
Drug withdrawal syndrome neonatal	151|150|152|1814|1815|1816|1812|1813|3362|3363|1565|147|1133|1132|148|3354|3356|3351|3350|3352|3269|3359|3358|1551|1576	25	7.000000	7.800000	10
Petechiae	25|1545|1557|1133|1558|5243|978|9429|1559|1633|6532|1244|6530|1562|5422|3358|6331	17	7.000000	30.882353	83
Dry skin	1128|1551|1545|1557|3815|1559|1131|5243|1565|9429|5159|6257|1576	13	12.000000	25.923077	170
Hypoglycaemia	1551|6833|1803|213|1812|1559|1557|5243|1565|5468|1576	11	12.000000	31.727273	154
Polyp	28234|25|1545|3815|5422|9429|1576	7	30.000000	66.571429	48
Oculogyric crisis	1128|1129|152|150|1814|1815|1816|1812|1813|3360|873|3362|3363|1565|147|151|1133|1132|1131|148|3354|3356|3351|3350|3352|3269|3359|3358|1551|1644|801	31	8.000000	14.967742	33
Neuropathy peripheral	1551|1544|1633|1557|3815|1559|1558|54658|5243|1565|9429|1244|2030|1576	14	7.000000	14.928571	229
Hepatitis B	4831|4830|54577|3614|3615	5	30.000000	34.000000	12
Lactic acidosis	1633|9356|4831|4830|2030|3177|5053	7	15.000000	23.857143	19
Lymphoproliferative disorder	2280|2475|54577|3614|3615	5	23.000000	24.400000	9
Peripheral coldness	151|153|154|6531|3351|6530|3352|6532|1565	9	6.000000	11.777778	43
Abdominal pain	1551|1559|7153|7364|5243|1565|9429|1558|1576	9	7.000000	20.111111	502
Febrile neutropenia	5159|5156|2944|25|7498|1545|7155|6647|7153|978|9429|540|8714|2030|6240|81027|3815|7298|1318|1633|4502|2950|1436|1806|7277|1728|5243|5422|7150|471|1244|2356|4489|538	34	19.000000	43.764706	57
Myositis	1551|1559|185|1576|1558	5	7.000000	11.400000	41
Retrograde ejaculation	1814|1815|1812|5004|148|147|3356|3350|3269	9	10.000000	10.222222	8
Periorbital oedema	1436|25|1815|1565|3815|5156|1814|3351|3352|5159|1576	11	14.000000	51.181818	32
Ectropion of cervix	10599|6462|6579|53919|2100|2099	6	28.500000	72.666667	5
Neuroleptic malignant syndrome	1128|1129|152|150|59340|6532|6530|6531|1814|1815|1544|1812|1813|3362|3363|1565|146|147|151|1133|1132|1131|1816|148|3354|3357|3356|3351|3350|3352|3269|3359|3358|1557|5243|801	36	7.000000	14.027778	49
Suicide attempt	1814|1815|151|152|1557|3352|1565|3354|3356|6532|6530|6531|3358	13	6.000000	8.692308	50
Alanine aminotransferase increased	1551|5159|1545|1557|3815|1559|54658|5243|1565|9429|1576	11	12.000000	23.909091	157
Protrusion tongue	1128|1814|1812|1813|3356|801|1565	7	14.000000	37.428571	15
Tongue disorder	1128|1814|1544|1557|1815|1565|1131|1816|1576|3354|3356|6532|3350|3352|3358	15	7.000000	10.666667	72
Derealisation	1128|706|2555|2556|6530	5	6.000000	6.000000	10
Urine output increased	1551|1557|1559|1565|3354|3352|1576	7	6.000000	9.285714	129
Torsade de pointes	1128|1129|152|2904|3751|3752|3757|59340|6532|6530|1814|1815|1544|1812|1813|7153|3362|3363|1565|146|147|151|5004|1133|1132|1131|1816|148|3354|3356|3351|3350|3352|3269|3359|3358|150|1557|5243|1551|1576	41	7.000000	12.414634	73
Tubulointerstitial nephritis	1544|213|6584|1559|7364|7153|5742|5743|1244|55867|9356	11	18.000000	34.727273	81
Erectile dysfunction	1128|1129|153|152|150|6532|6530|6531|1814|1815|1544|2326|1812|1813|3359|7364|3362|3363|367|9254|775|147|151|776|5004|1133|1132|1131|779|1816|148|54658|3354|3356|146|3350|3269|6583|3358|1551|1636|1557|783|1559|1558|5243|1565|8912|1576	49	6.000000	12.918367	226
Obesity	1128|1814|1816|152|1812|1815|1133|1132|151|3362|3354|147|3356|3351|3350|3352|150|3358	18	6.500000	7.500000	20
Skin disorder	1551|9429|1576|5243|1565	5	6.000000	8.200000	386
